| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1507. | 14 Oct 82 | GLORY TRIP 143MS-1 | 4038 | LF-08 | MINUTEMAN F | OT PHASE II | 155 | SAC | 562 |
| 1508. | 17 Nov 82 | N/A | 3718 | SLC-4E | TITAN IIID | SPACE | 22 | AFSC | 719 |
| 1509. | 2 Dec 82 | GLORY TRIP 91GM | 3419 | LF-09 | MINUTEMAN G | OT PHASE II | 145 | SAC | 563 |
| 1510. | 20 Dec 82 | DMSP F-6 | 5423 | SLC-3W | ATLAS E | SPACE | 19 | AFSC | 720 |
| 1511. | 7 Jan 83 | LBRV-2 | 3397 | LF-03 | MINUTEMAN B | RSLP | 249 | AFSC | 721 |
| 1512. | 25 Jan 83 | IRAS | 9405 | SLC-2W | DELTA | SPACE | 4 | NASA | 51 |
| 1513. | 7 Feb 83 | STREP 11 | 9835 | LF-05 | MINUTEMAN B | RSLP | 250 | AFSC | 722 |
| 1514. | 9 Feb 83 | N/A | 5344 | SLC-3E | ATLAS H | SPACE | 1 | AFSC | 723 |
| 1515. | 24 Feb 83 | GLORY TRIP 92GB | 9623 | LF-26 | MINUTEMAN G | OT PHASE II | 146 | SAC | 564 |
| 1516. | 11 Mar 83 | GLORY TRIP 93GM | 1588 | LF-04 | MINUTEMAN G | OT PHASE II | 147 | SAC | 565 |
| 1517. | 16 Mar 83 | GLORY TRIP 144MS | 8140 | LF-08 | MINUTEMAN F | OT PHASE II | 156 | SAC | 566 |
| 1518. | 28 Mar 83 | NOAA E | 3267 | SLC-3W | ATLAS E | SPACE | 20 | AFSC | 724 |
| 1519. | 15 Apr 83 | N/A | 0621 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 63 | AFSC | 725 |
| 1520. | 5 May 83 | STREP 22 | 0459 | LF-03 | MINUTEMAN B | RSLP | 251 | AFSC | 726 |
| 1521. | 26 May 83 | EXOSAT | 4150 | SLC-2W | DELTA | SPACE | 5 | NASA | 52 |
| 1522. | 28 May 83 | STREP 12 | 6029 | LF-03 | MINUTEMAN B | RSLP | 252 | AFSC | 727 |
| 1523. | 9 Jun 83 | N/A | 4191 | SLC-3E | ATLAS H | SPACE | 2 | AFSC | 728 |
| 1524. | 17 Jun 83 | FTM-1 | 6713 | TP-01 | PEACEKEEPER | DT&E PHASE I | 1 | AFSC | 729 |
| 1525. | 20 Jun 83 | N/A | 9844 | SLC-4E | TITAN 34D | SPACE | 1 | AFSC | 730 |
| 1526. | 25 Jun 83 | GLORY TRIP 95GB | 5682 | LF-26 | MINUTEMAN G | OT PHASE II | 148 | SAC | 567 |

PAGE 77
