| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1. | 16 Dec 58 | TUNE UP | 1001 | 75-1-1 | THOR | DEMONSTRATION | 1 | AFSC | 1 |
| 2. | 28 Feb 59 | FLYING YANKEE | 1003 | 75-3-4 | THOR/AGENA A | SPACE | 1 | AFSC | 2 |
| 3. | 13 Apr 59 | EARLY TIME | 1004 | 75-3-4 | THOR/AGENA A | SPACE | 2 | AFSC | 3 |
| 4. | 16 Apr 59 | LIONS ROAR | 1005 | 75-2-8 | THOR | IWST | 2 | RAF | 1 |
| 5. | 3 Jun 59 | GOLD DUKE | 1007 | 75-3-4 | THOR/AGENA A | SPACE | 3 | AFSC | 4 |
| 6. | 16 Jun 59 | RIFLE SHOT | 1008 | 75-2-7 | THOR | IWST | 3 | RAF | 2 |
| 7. | 25 Jun 59 | LONG ROAD | 1010 | 75-3-5 | THOR/AGENA A | SPACE | 4 | AFSC | 5 |
| 8. | 14 Jul 59 | SUNFLARE II | • | PALC-A | NIKE/ASP | SPACE PROBE | 1 | NAVY | 1 |
| 9. | 24 Jul 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 2 | NAVY | 2 |
| 10. | 24 Jul 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 3 | NAVY | 3 |
| 11. | * Jul 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 4 | NAVY | 4 |
| 12. | • Jul 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 5 | NAVY | 5 |
| 13. | • Jul 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 6 | NAVY | 6 |
| 14. | • Aug 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 7 | NAVY | 7 |
| 15. | * Aug 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 8 | NAVY | 8 |
| 16. | • Aug 59 | N/A | * | PALC-A | NIKE/ASP | SPACE PROBE | 9 | NAVY | 9 |
| 17. | • Aug 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 10 | NAVY | 10 |
| 18. | * Aug 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 11 | NAVY | 11 |
| 19. | • Aug 59 | N/A | • | PALC-A | NIKE/ASP | SPACE PROBE | 12 | NAVY | 12 |

(*) Data not available

PAGE 1
