| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 191. | 18 Dec 62 | N/A | 3201 | PALC-A | SCOUT JR | SPACE PROBE | 5 | AFSC | 106 |
| 192. | 18 Dec 62 | BLUE SCOUT IV | 5201 | PALC-D | SCOUT | SPACE | 4 | AFSC | 107 |
| 193. | 18 Dec 62 | OAK TREE | 8202 | OSTF-1 | ATLAS E | R&D | 4 | AFSC | 108 |
| 194. | 22 Dec 62 | FLY HIGH | 2201 | 576 A-1 | ATLAS D | NIKE TARGET | 30 | SAC | 25 |
| 195. | 7 Jan 63 | CANDY KISSES | 0048 | 75-1-1 | THOR/AGENA D | SPACE | 9 | AFSC | 109 |
| 196. | 16 Jan 63 | CIRCUS BOY | 0180 | 75-3-5 | THOR/AGENA D | SPACE | 10 | AFSC | 110 |
| 197. | 25 Jan 63 | BIG SUE | 0276 | 576 B-2 | ATLAS D | OT | 31 | SAC | 26 |
| 198. | 29 Jan 63 | TEN MEN | 0210 | 395 A-1 | TITAN I | R&D | 8 | AFSC | 111 |
| 199. | 31 Jan 63 | FAINT CLICK | 0192 | 576 A-3 | ATLAS D | NIKE TARGET | 32 | SAC | 27 |
| 200. | 1 Feb 63 | N/A | 0096 | PALC-A | SCOUT JR | SPACE PROBE | 6 | AFSC | 112 |
| 201. | 11 Feb 63 | N/A | 0429 | PALC-A | ARGO D-8 | SPACE PROBE | 3 | NASA | 4 |
| 202. | 13 Feb 63 | FLAG RACE | 0370 | 576 A-1 | ATLAS D | NIKE TARGET | 33 | SAC | 28 |
| 203. | 16 Feb 63 | AWFUL TIRED | 0280 | 395-C | TITAN II | R&D | 1 | AFSC | 113 |
| 204. | 19 Feb 63 | BLUE SCOUT V | 0240 | PALC-D | SCOUT | SPACE | 5 | AFSC | 114 |
| 205. | 28 Feb 63 | PITCH PINE | 0561 | 576 A-3 | ATLAS D | NIKE TARGET | 34 | SAC | 29 |
| 206. | 28 Feb 63 | FARM COUNTRY | 0583 | 75-3-5 | TAT/AGENA D | SPACE | 1 | AFSC | 115 |
| 207. | 9 Mar 63 | TALL TREE 3 | 0478 | 576 B-3 | ATLAS D | OT | 35 | SAC | 30 |
| 208. | 11 Mar 63 | TALL TREE 2 | 0477 | 576 B-2 | ATLAS D | OT | 36 | SAC | 31 |
| 209. | 13 Mar 63 | N/A | 0264 | PALC-A | SCOUT JR | SPACE PROBE | 7 | AFSC | 116 |

(*) Data not available

PAGE 11
