| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 510. | 30 Sep 65 | LOG FOG | 6004 | PALC-2-4 | ATLAS/AGENA D | SPACE | 23 | AFSC | 255 |
| 511. | 5 Oct 65 | SEETHING CITY | 8051 | ABRES B-3 | ATLAS D | SPACE | 69 | AFSC | 256 |
| 512. | 5 Oct 65 | UNION LEADER | 5325 | 75-3-5 | TAT/AGENA D | SPACE | 41 | AFSC | 257 |
| 513. | 6 Oct 65 | DICE SPOT | 8330 | LF-22 | MINUTEMAN F | R&D | 2 | AFSC | 258 |
| 514. | 14 Oct 65 | OLD ABBEY | 0517 | 75-1-1 | TAT/AGENA D | SPACE | 42 | AFSC | 259 |
| 515. | 20 Oct 65 | POWER BOX | 7849 | 395-C | TITAN II | OT | 26 | SAC | 185 |
| 516. | 28 Oct 65 | HIGH JOURNEY | 2155 | PALC-1-1 | TAT/AGENA D | SPACE | 43 | AFSC | 260 |
| 517. | 8 Nov 65 | SHOP DEGREE | 6232 | PALC-2-4 | ATLAS/AGENA D | SPACE | 24 | AFSC | 261 |
| 518. | 9 Nov 65 | LOW TREE | 8988 | LF-21 | MINUTEMAN F | R&D | 3 | AFSC | 262 |
| 519. | 27 Nov 65 | RED WAGON | 1404 | 395-D | TITAN II | OT | 27 | SAC | 186 |
| 520. | 28 Nov 65 | REHEAT | 0533 | 75-1-1 | THOR/AGENA D | SPACE | 22 | AFSC | 263 |
| 521. | 29 Nov 65 | WILD GOAT | 7927 | ABRES A-1 | ATLAS D | ABRES | 70 | AFSC | 264 |
| 522. | 30 Nov 65 | CROSS FIRE | 7844 | 395-B | TITAN II | OT | 28 | SAC | 187 |
| 523. | 6 Dec 65 | SQUEEKY HUB | 0542 | PALC-D | SCOUT | SPACE | 16 | AFSC | 265 |
| 524. | 9 Dec 65 | LUCKY FELLOW | 7249 | 75-3-5 | TAT/AGENA D | SPACE | 44 | AFSC | 266 |
| 525. | 14 Dec 65 | GRAND RIVER | 0312 | LF-04 | MINUTEMAN A | FOT | 40 | SAC | 188 |
| 526. | 15 Dec 65 | PUSH PULL | 8989 | LF-24 | MINUTEMAN F | R&D | 4 | AFSC | 267 |
| 527. | 20 Dec 65 | TAG DAY | 7869 | ABRES B-2 | ATLAS D | ABRES | 71 | AFSC | 268 |
| 528. | 21 Dec 65 | SOCIAL CIRCLE | 1509 | PALC-D | SCOUT | SPACE | 17 | AFSC | 269 |
| 529. | 22 Dec 65 | SEA ROVER | 7914 | 395-C | TITAN II | OT | 29 | SAC | 189 |

PAGE 27
