| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1587. | 15 Jun 86 | GLORY TRIP 115GB | 9966 | LF-26 | MINUTEMAN G | OT PHASE II | 169 | SAC | 590 |
| 1588. | 31 Jul 86 | GLORY TRIP 116GM | 5361 | LF-09 | MINUTEMAN G | OT PHASE II | 170 | SAC | 591 |
| 1589. | 23 Aug 86 | FTM-15 | 9823 | LF-02 | PEACEKEEPER | OT&E | 13 | AFSC | 764 |
| 1590. | 28 Aug 86 | GLORY TRIP 117GM | 5674 | LF-04 | MINUTEMAN G | OT PHASE II | 171 | SAC | 592 |
| 1591. | 17 Sep 86 | NOAA-G | 8946 | SLC-3W | ATLAS E | SPACE | 28 | AFSC | 765 |
| 1592. | 18 Sep 86 | FTM-13 | 9278 | LF-08 | PEACEKEEPER | OT&E | 14 | AFSC | 766 |
| 1593. | 25 Sep 86 | GLORY TRIP 118GB | 9168 | LF-26 | MINUTEMAN G | OT PHASE II | 172 | SAC | 593 |
| 1594. | 13 Nov 86 | POLAR BEAR | 5853 | SLC-5 | SCOUT | SPACE | 59 | NASA | 57 |
| 1595. | 5 Dec 86 | FTM-14 | 1712 | LF-02 | PEACEKEEPER | OT&E | 15 | AFSC | 767 |
| 1596. | 20 Jan 87 | SENT-1 | 6607 | LF-03 | MINUTEMAN B | SENT | 258 | AFSC | 768 |
| 1597. | 28 Jan 87 | GLORY TRIP 119GM | 4292 | LF-09 | MINUTEMAN G | OT PHASE II | 173 | SAC | 594 |
| 1598. | 4 Feb 87 | GLORY TRIP 120GB | 2149 | LF-26 | MINUTEMAN G | OT PHASE II | 174 | SAC | 595 |
| 1599. | 11 Feb 87 | N/A | 5847 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 68 | AFSC | 769 |
| 1600. | 13 Feb 87 | FTM-16 | 1806 | LF-08 | PEACEKEEPER | OT&E | 16 | AFSC | 770 |
| 1601. | 16 Mar 87 | GLORY TRIP 121GM | 5475 | LF-04 | MINUTEMAN G | OT PHASE II | 175 | SAC | 596 |
| 1602. | 21 Mar 87 | FTM-17 | 8699 | LF-08 | PEACEKEEPER | OT&E | 17 | AFSC | 771 |
| 1603. | 2 Apr 87 | IPMS | 2995 | LF-06 | MINUTEMAN G | IPMS | 176 | AFSC | 772 |
| 1604. | 15 May 87 | N/A | 2861 | SLC-3E | ATLAS H | SPACE | 5 | AFSC | 773 |
| 1605. | 19 Jun 87 | DMSP F-8 | 8663 | SLC-3W | ATLAS E | SPACE | 29 | AFSC | 774 |
| 1606. | 25 Jun 87 | GLORY TRIP 122GB-1 | 9256 | LF-26 | MINUTEMAN G | OT PHASE II | 177 | SAC | 597 |

PAGE 81 .
