| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 570. | 20 Apr 66 | LONG LIGHT | 7984 | 395-B | TITAN II | OT | 34 | SAC | 207 |
| 571. | 22 Apr 66 | LABRADOR RETRIEVER | 1527 | PALC-D | SCOUT | SPACE | 20 | AFSC | 293 |
| 572. | 22 Apr 66 | ECHO CANYON | 2602 | LF-03 | MINUTEMAN B | FOT | 69 | SAC | 208 |
| 573. | 2 May 66 | LACE STRAP | 2622 | LF-02 | MINUTEMAN B | FOT | 70 | SAC | 209 |
| 574. | 3 May 66 | CRAB CLAW | 7947 | ABRES A-1 | ATLAS D | ABRES | 78 | AFSC | 294 |
| 575. | 3 May 66 | CARGO NET | 1508 | 75-3-5 | TAT/AGENA D | SPACE | 50 | AFSC | 295 |
| 576. | 13 May 66 | SUPPLY ROOM | 0001 | ABRES B-1 | ATLAS D | ABRES | 74 | AFSC | 296 |
| 577. | 14 May 66 | PUMP HANDLE | 1950 | PALC-2-4 | ATLAS/AGENA D | SPACE | 29 | AFSC | 297 |
| 578. | 15 May 66 | BAD ULCER | 2402 | 75-1-1 | TAT/AGENA D | SPACE | 51 | AFSC | 298 |
| 579. | 16 May 66 | DOCK WORKER | 2599 | LF-09 | MINUTEMAN B | FOT | 71 | SAC | 210 |
| 580. | 16 May 66 | SAGE GREEN | 0275 | LF-06 | MINUTEMAN A | FOT | 45 | SAC | 211 |
| 581. | 17 May 66 | TIGHT DRUM | 3013 | LF-07 | MINUTEMAN B | FOT | 72 | SAC | 212 |
| 582. | 18 May 66 | DANCE LESSON | 0082 | PALC-D | SCOUT | SPACE | 21 | AFSC | 299 |
| 583. | 23 May 66 | SHORT TON | 1778 | PALC-1-1 | TAT/AGENA D | SPACE | 52 | AFSC | 300 |
| 584. | 24 May 66 | SILVER BULLET | 7955 | 395-C | TITAN II | FOT | 35 | SAC | 213 |
| 585. | 26 May 66 | SAND SHARK | 1417 | ABRES B-2 | ATLAS D | ABRES | 80 | AFSC | 301 |
| 586. | 31 May 66 | GREEN PEA | 2636 | LF-03 | MINUTEMAN B | FOT | 73 | SAC | 214 |
| 587. | 31 May 66 | NIGHT STAND | 0245 | LF-04 | MINUTEMAN A | FOT | 46 | SAC | 215 |
| 588. | 2 Jun 66 | FOUR ACES | 2640 | LF-02 | MINUTEMAN B | FOT | 74 | SAC | 216 |
| 589. | 3 Jun 66 | POWER DRILL | 1577 | PALC-2-4 | ATLAS/AGENA D | SPACE | 30 | AFSC | 302 |

PAGE 30 .
