| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 949. | 7 Mar 70 | N/A | 6199 | BOM-1 | BOMARC A | TARGET | 32 | NAVY | 51 |
| 950. | 7 Mar 70 | N/A | 2178 | BOM-2 | BOMARC A | TARGET | 33 | NAVY | 52 |
| 951. | 10 Mar 70 | GLORY TRIP 62B | 8242 | LF-03 | MINUTEMAN B | FOT | 158 | SAC | 343 |
| 952. | 11 Mar 70 | GLORY TRIP 24F | 6560 | LF-22 | MINUTEMAN F | OT | 65 | SAC | 344 |
| 953. | 13 Mar 70 | N/A | 7525 | BMRS A-3 | ATLAS F | ABRES | 48 | AFSC | 486 |
| 954. | 23 Mar 70 | GLORY TRIP 63B | 8489 | LF-07 | MINUTEMAN B | FOT | 159 | SAC | 345 |
| 955. | 26 Mar 70 | GLORY TRIP 25M | 7843 | LF-05 | MINUTEMAN F | OT | 66 | SAC | 346 |
| 956. | 31 Mar 70 | GLORY TRIP 23F | 6314 | LF-26 | MINUTEMAN F | OT PHASE I * | 67 | SAC | 347 |
| 957. | 2 Apr 70 | N/A | 0094 | LF-08 | MINUTEMAN G | R&D | 6 | AFSC | 487 |
| 958. | 8 Apr 70 | N/A | 2620 | SLC-2E | THORAD/AGENA D | SPACE | 31 | AFSC | 488 |
| 959. | 15 Apr 70 | N/A | 2863 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 26 | AFSC | 489 |
| 960. | 18 Apr 70 | N/A | 5394 | BOM-1 | BOMARC A | TARGET | 34 | NAVY | 53 |
| 961. | 21 Apr 70 | GLORY TRIP 48F | 7482 | LF-24 | MINUTEMAN F | OT PHASE I | 68 | SAC | 348 |
| 962. | 22 Apr 70 | N/A | 8003 | LF-02 | MINUTEMAN G | R&D | 7 | AFSC | 490 |
| 963. | 25 Apr 70 | GLORY TRIP 57F | 6510 | LF-22 | MINUTEMAN F | OT PHASE I | 69 | SAC | 349 |
| 964. | 4 May 70 | GLORY TRIP 64B | 6865 | LF-07 | MINUTEMAN B | OT PHASE II * | 160 | SAC | 350 |
| 965. | 8 May 70 | N/A | 6412 | LF-02 | MINUTEMAN G | R&D | 8 | AFSC | 491 |
| 966. | 20 May 70 | N/A | 4720 | SLC-3W | THORAD/AGENA D | SPACE | 32 | AFSC | 492 |
| 967. | 21 May 70 | GLORY TRIP 55F | 7841 | LF-25 | MINUTEMAN F | OT PHASE I | 70 | SAC | 351 |

(*) Formerly OT

PAGE 49
