| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 250. | 5 Jul 63 | GRAND TOUR | 1307 | 394 A-4 | MINUTEMAN A | R&D | 10 | AFSC | 145 |
| 251. | 11 Jul 63 | TRIPLE PLAY | 1460 | 394 A-2 | MINUTEMAN A | DASO | 11 | SAC | 42 |
| 252. | 12 Jul 63 | FISH POOL | 1467 | PALC-2-3 | ATLAS/AGENA D | SPACE | 1 | AFSC | 146 |
| 253. | 16 Jul 63 | SILVER SPUR | 1488 | 395 A-2 | TITAN I | DASO | 13 | SAC | 43 |
| 254. | 18 Jul 63 | CHILI WILLIE | 1266 | 75-1-1 | THOR/AGENA D | SPACE | 14 | AFSC | 147 |
| 255. | 18 Jul 63 | DAMP DUCK | 1456 | PALC-1-2 | ATLAS/AGENA B | SPACE | 16 | AFSC | 148 |
| 256. | 26 Jul 63 | SILVER DOLL | 1365 | 576-F | ATLAS E | DASO | 8 | SAC | 44 |
| 257. | 27 Jul 63 | DIAL RIGHT | 1596 | 394 A-5 | MINUTEMAN A | DASO | 12 | SAC | 45 |
| 258. | 30 Jul 63 | BIG FLIGHT | 1618 | 576-C | ATLAS E | DASO | 9 | SAC | 46 |
| 259. | 30 Jul 63 | BIG TALK | 1370 | 75-1-2 | TAT/AGENA D | SPACE | 6 | AFSC | 149 |
| 260. | 31 Jul 63 | COOL WATER 1 | 1651 | 576 B-1 | ATLAS D | ST | 40 | SAC | 47 |
| 261. | 8 Aug 63 | WELL DONE | 1685 | 394 A-1 | MINUTEMAN A | DASO | 13 | SAC | 48 |
| 262. | 15 Aug 63 | HIGH RIVER | 1776 | 395 A-1 | TITAN I | DASO | 14 | SAC | 49 |
| 263. | 24 Aug 63 | GHOST DANCE | 1419 | 75-3-4 | TAT/AGENA D | SPACE | 7 | AFSC | 150 |
| 264. | 24 Aug 63 | PIPE DREAM | 1823 | 576-F | ATLAS E | DASO | 10 | SAC | 50 |
| 265. | 28 Aug 63 | COOL WATER II | 1786 | 576 B-3 | ATLAS D | ST | 41 | SAC | 51 |
| 266. | 29 Aug 63 | PELICAN PETE | 1561 | 75-3-5 | THOR/AGENA D | SPACE | 15 | AFSC | 151 |
| 267. | 29 Aug 63 | GLASS WAND | 1698 | 394 A-6 | MINUTEMAN B | R&D | 2 | AFSC | 152 |
| 268. | 30 Aug 63 | POLAR ROUTE | 1536 | 395 A-3 | TITAN I | DASO | 15 | SAC | 52 |
| 269. | 6 Sep 63 | COOL WATER III | 1814 | 576 B-2 | ATLAS D | ST | 42 | SAC | 53 |

PAGE 14
