| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 769. | 16 Jan 68 | GLOWING SAND | 5930 | LF-06 | MINUTEMAN B | ST | 126 | SAC | 284 |
| 770. | 17 Jan 68 | N/A | 1965 | SLC-2W | TAT/AGENA D | SPACE | 63 | AFSC | 398 |
| 771. | 18 Jan 68 | N/A | 5028 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 11 | AFSC | 399 |
| 772. | 24 Jan 68 | N/A | 2243 | SLC-1E | THORAD/AGENA D | SPACE | 9 | AFSC | 400 |
| 773. | 25 Jan 68 | OLYMPIC TRIALS 7 | 5694 | LF-22 | MINUTEMAN F | ST | 29 | SAC | 285 |
| 774. | 31 Jan 68 | N/A | 6976 | ABRES A-3 | ATLAS F | ABRES | 28 | AFSC | 401 |
| 775. | 2 Feb 68 | OLYMPIC TRIALS 8 | 2984 | LF-24 | MINUTEMAN F | ST | 30 | SAC | 286 |
| 776. | 2 Feb 68 | OLYMPIC TRIALS B-1 | 6907 | LF-09 | MINUTEMAN B | ST | 127 | SAC | 287 |
| 777. | 10 Feb 68 | N/A | 0916 | LF-08 | MINUTEMAN F | MOD/R&D | 31 | AFSC | 402 |
| 778. | 26 Feb 68 | N/A | 7994 | ABRES A-1 | ATLAS F | ABRES | 29 | AFSC | 403 |
| 779. | 28 Feb 68 | GLORY TRIP 04T | 8126 | 395-B | TITAN II | FOT | 43 | SAC | 288 |
| 780. | 1 Mar 68 | N/A | 7034 | SLC-5 | SCOUT | SPACE | 32 | AFSC | 404 |
| 781. | 6 Mar 68 | N/A | 3457 | ABRES A-3 | ATLAS E | ABRES | 14 | AFSC | 405 |
| 782. | 13 Mar 68 | N/A | 5057 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 12 | AFSC | 406 |
| 783. | 14 Mar 68 | N/A | 4849 | SLC-1E | THORAD/AGENA D | SPACE | 10 | AFSC | 407 |
| 784. | 29 Mar 68 | OLYMPIC TRIALS 9 | 3938 | LF-26 | MINUTEMAN F | ST | 32 | SAC | 289 |
| 785. | 2 Apr 68 | GLORY TRIP 10T | 5576 | 395-C | TITAN II | FOT | 44 | SAC | 290 |
| 786. | 4 Apr 68 | N/A | 7010 | BOM-1 | BOMARC A | TARGET | 9 | NAVY | 28 |
| 787. | 6 Apr 68 | N/A | 6968 | ABRES A-2 | ATLAS F | SPACE | 30 | AFSC | 408 |
| 788. | 10 Apr 68 | OLYMPIC TRIALS B-2 | 5270 | LF-03 | MINUTEMAN B | ST | 128 | SAC | 291 |

PAGE 40
