| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 590. | 9 Jun 66 | MAMAS BOY | 1960 | PALC-1-2 | ATLAS/AGENA D | SPACE | 31 | AFSC | 303 |
| 591. | 10 Jun 66 | VENEER PANEL | 7854 | ABRES B-1 | ATLAS D | ABRES | 81 | AFSC | 304 |
| 592. | 10 Jun 66 | EBONY ANGEL | 2611 | LF-09 | MINUTEMAN B | FOT | 75 | SAC | 217 |
| 593. | 21 Jun 66 | GAME LEG | 1599 | 75-3-5 | TAT/AGENA D | SPACE | 53 | AFSC | 305 |
| 594. | 23 Jun 66 | CLOTH COAT | 3051 | 75-1-1 | TAT/AGENA D | SPACE | 54 | AFSC | 306 |
| 595. | 24 Jun 66 | FOX TRAP | 5671 | LF-08 | MINUTEMAN F | MOD/R&D | 9 | AFSC | 307 |
| 596. | 26 Jun 66 | GOLDEN MOUNTAIN | 5615 | ABRES B-2 | ATLAS D | ABRES | 82 | AFSC | 308 |
| 597. | 30 Jun 66 | HEAVY ARTILLERY | 0506 | ABRES A-1 | ATLAS D | ABRES | 83 | AFSC | 309 |
| 598. | 11 Jul 66 | SOLID GOLD | 2225 | LF-03 | MINUTEMAN B | FOT | 76 | SAC | 218 |
| 599. | 12 Jul 66 | SUGAR CANE | 2626 | LF-09 | MINUTEMAN B | FOT | 77 | SAC | 219 |
| 600. | 12 Jul 66 | SNAKE CREEK | 1850 | SLC-4E | ATLAS/AGENA D | SPACE | 32 | AFSC | 310 |
| 601. | 13 Jul 66 | YOUNG LION | 2653 | LF-02 | MINUTEMAN B | FOT | 78 | SAC | 220 |
| 602. | 13 Jul 66 | STONY ISLAND | 0847 | ABRES B-3 | ATLAS D | SPACE | 84 | AFSC | 311 |
| 603. | 22 Jul 66 | GIANT TRAIN | 7968 | 395-B | TITAN II | ST | 36 | SAC | 221 |
| 604. | 26 Jul 66 | TATTERED COAT | 2540 | LF-08 | MINUTEMAN F | MOD/R&D | 10 | AFSC | 312 |
| 605. | 26 Jul 66 | RED MAN | 2657 | LF-07 | MINUTEMAN B | FOT | 79 | SAC | 222 |
| 606. | 29 Jul 66 | DAILY MAIL | 3014 | SLC-4W | TITAN IIB/AGENA D | SPACE | 1 | AFSC | 313 |
| 607. | 1 Aug 66 | STAR BRIGHT | 1883 | LF-24 | MINUTEMAN F | DASO | 11 | SAC | 223 |
| 608. | 4 Aug 66 | RUBBER MAT | 3140 | SLC-5 | SCOUT | SPACE | 22 | AFSC | 314 |
| 609. | 5 Aug 66 | PLAY BUSTER | 2465 | LF-03 | MINUTEMAN B | FOT | 80 | SAC | 224 |

PAGE 31
