| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1705. | 7 Sep 94 | GLORY TRIP 16PA | 4488 | LF-05 | PEACEKEEPER | OT PHASE II | 34 | AFSPC | 15 |
| 1706. | 5 Oct 94 | GLORY TRIP 157GM | 2129 | LF-04 | MINUTEMAN G | OT PHASE II | 213 | AFSPC | 16 |
| 1707. | 30 Dec 94 | NOAA-J | 7164 | SLC-3W | ATLAS E | SPACE | 38 | AFSPC | 17 |
| 1708. | 19 Jan 95 | GLORY TRIP 17PA | 3733 | LF-02 | PEACEKEEPER | OT PHASE II | 35 | AFSPC | 18 |
| 1709. | 1 Feb 95 | GLORY TRIP 158GM | 7760 | LF-09 | MINUTEMAN G | OT PHASE II | 214 | AFSPC | 19 |
| 1710. | 17 Mar 95 | GLORY TRIP 159GM | 3406 | LF-04 | MINUTEMAN G | OT PHASE II | 215 | AFSPC | 20 |
| 1711. | 24 Mar 95 | DMSP (F-13) | 1970 | SLC-3W | ATLAS E | SPACE | 39 | AFSPC | 21 |
| 1712. | 3 Apr 95 | ORBCOMM FM-1&2 | 8704 | Air Lift | PEGASUS XL* | SPACE | 1 | OSC | 2** |
| 1713. | 14 Jun 95 | GLORY TRIP 18PA | 9193 | LF-05 | PEACEKEEPER | OT PHASE II | 36 | AFSPC | 22 |
| 1714. | 22 Jun 95 | STEP-3 | 1135 | Air Lift | PEGASUS XL | SPACE | 2 | OSC | 3 |
| 1715. | 15 Aug 95 | GEMSTAR | 0404 | SLC-5 | LLV-1 | SPACE | 1 | Lockheed | 1 |
| 1716. | 30 Aug 95 | GLORY TRIP 19PA | 8205 | LF-02 | PEACEKEEPER | OT PHASE II | 37 | AFSPC | 23 |
| 1717. | 4 Nov 95 | RADARSAT | 9381 | SLC-2W | DELTA II | SPACE | 1 | NASA | 69 |
| 1718. | 5 Dec 95 | K-15 | 3999 | SLC-4E | TITAN IV | SPACE | 5 | AFSPC | 24 |
| 1719. | 24 Feb 96 | POLAR | 8320 | SLC-2W | DELTA II | SPACE | 2 | NASA | 70 |
| 1720. | 6 Mar 96 | GLORY TRIP 161GM | 5237 | LF-09 | MINUTEMAN G | OT PHASE II | 216 | AFSPC | 25 |
| 1721. | 8 Mar 96 | REX-2 | 8516 | Air Lift | PEGASUS | SPACE | 3 | OSC | 4 |
| 1722. | 24 Apr 96 | MSX | 6142 | SLC-2W | DELTA II | SPACE | 3 | NASA | 71 |

* This was the eigth Pegasus flight, but the first staged from Vandenberg AFB. See note on page ix.
** This number includes OSC's Taurus launch on 13 March 1994.

PAGE 87
