| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 20. | 3 Aug 59 | BEAN BALL | 1011 | 75-1-1 | THOR | IWST | 4 | RAF | 3 |
| 21. | 13 Aug 59 | FLY HIGH | 1012 | 75-3-4 | THOR/AGENA A | SPACE | 5 | AFSC | 6 |
| 22. | 14 Aug 59 | SHORT SKIP | 1014 | 75-2-6 | THOR | IWST | 5 | RAF | 4 |
| 23. | 19 Aug 59 | HURRY UP | 1013 | 75-3-5 | THOR/AGENA A | SPACE | 6 | AFSC | 7 |
| 24. | 9 Sep 59 | DESERT HEAT | 1015 | 576 A-2 | ATLAS D | DEMONSTRATION | 1 | SAC | 1 |
| 25. | 17 Sep 59 | GREASE GUN | 1016 | 75-1-2 | THOR | IWST | 6 | RAF | 5 |
| 26. | 6 Oct 59 | FOREIGN TRAVEL | 1018 | 75-2-8 | THOR | CTL | 7 | RAF | 6 |
| 27. | 21 Oct 59 | STAND FAST | 1019 | 75-1-1 | THOR | IWST | 8 | RAF | 7 |
| 28. | 7 Nov 59 | CARGO NET | 1017 | 75-3-4 | THOR/AGENA A | SPACE | 7 | AFSC | 8 |
| 29. | 12 Nov 59 | BEACH BUGGY | 1020 | 75-1-2 | THOR | IWST | 9 | RAF | 8 |
| 30. | 20 Nov 59 | LIVID LADY | 1021 | 75-3-5 | THOR/AGENA A | SPACE | 8 | AFSC | 9 |
| 31. | 1 Dec 59 | HARD RIGHT | 1022 | 75-1-1 | THOR | CTL | 10 | RAF | 9 |
| 32. | 14 Dec 59 | TALL GIRL | 1023 | 75-1-2 | THOR | IWST | 11 | RAF | 10 |
| 33. | 21 Jan 60 | RED CABOOSE | 1025 | 75-1-2 | THOR | IWST | 12 | RAF | 11 |
| 34. | 26 Jan 60 | DUAL EXHAUST | 1024 | 576 A-3 | ATLAS D | DEMONSTRATION | 2 | SAC | 2 |
| 35. | 4 Feb 60 | HUNGRY EYE | 1026 | 75-3-4 | THOR/AGENA A | SPACE | 9 | AFSC | 10 |
| 36. | 4 Feb 60 | N/A | • | PALC-B | NIKE/VIPER I | SPACE PROBE | 1 | AEC | 1 |
| 37. | 19 Feb 60 | DERBY DAY | 1027 | 75-3-5 | THOR/AGENA A | SPACE | 10 | AFSC | 11 |
| 38. | 2 Mar 60 | CENTER BOARD | 1028 | 75-2-8 | THOR | CTL | 13 | RAF | 12 |

(*) Data not available

PAGE 2
