| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1687. | 25 Jun 93 | RADCAL | 0457 | SLC-5 | SCOUT | SPACE | 68 | NASA | 67 |
| 1688. | 2 Jul 93 | GLORY TRIP 152GM | 8387 | LF-09 | MINUTEMAN G | OT PHASE II | 208 | AFSPC | 4 |
| 1689. | 13 Jul 93 | GLORY TRIP 12PA | 7945 | LF-05 | PEACEKEEPER | OT PHASE II | 30 | AFSPC | 5 |
| 1690. | 2 Aug 93 | N/A | 8260 | SLC-4E | TITAN IV | SPACE | 4 | AFMC | 4 |
| 1691. | 9 Aug 93 | NOAA-I | 1066 | SLC-3W | ATLAS E | SPACE | 36 | AFSPC | 6 |
| 1692. | 31 Aug 93 | GLORY TRIP 153GB | 0671 | LF-26 | MINUTEMAN G | OT PHASE II | 209 | AFSPC | 7 |
| 1693. | 15 Sep 93 | GLORY TRIP 13PA | 4077 | LF-02 | PEACEKEEPER | OT PHASE II | 31 | AFSPC | 8 |
| 1694. | 5 Oct 93 | LANDSAT 6 | 3810 | SLC-4W | TITAN II SLV | SPACE | 4 | AFMC | 5 |
| 1695. | 25 Jan 94 | CLEMENTINE | 7149 | SLC-4W | TITAN II SLV | SPACE | 5 | AFMC | 6 |
| 1696. | 2 Feb 94 | GLORY TRIP 154GB | 5290 | LF-26 | MINUTEMAN G | OT PHASE II | 210 | AFSPC | 9 |
| 1697. | 4 Feb 94 | ASTRID | 5255 | LF-08* | INTERCEPTOR VEH. | DEMO (BALLISTIC) | 1 | LLL | 1 |
| 1698. | 7 Mar 94 | GLORY TRIP 14PA | 6463 | LF-05 | PEACEKEEPER | OT PHASE II | 32 | AFSPC | 10 |
| 1699. | 13 Mar 94 | T-1 | 7195 | 576E** | TAURUS | SPACE | 1 | OSC | 1 |
| 1700. | 8 May 94 | MSTI-2 | 4564 | SLC-5 | SCOUT | SPACE | 69 | NASA | 68 |
| 1701. | 17 May 94 | GLORY TRIP 15PA | 2971 | LF-02 | PEACEKEEPER | OT PHASE II | 33 | AFSPC | 11 |
| 1702. | 8 Jun 94 | GLORY TRIP 155GM | 0373 | LF-04 | MINUTEMAN G | OT PHASE II | 211 | AFSPC | 12 |
| 1703. | 6 Jul 94 | GLORY TRIP 156GM | 1626 | LF-09 | MINUTEMAN G | OT PHASE II | 212 | AFSPC | 13 |
| 1704. | 29 Aug 94 | DMSP (F-12) | 9001 | SLC-3W | ATLAS E | SPACE | 37 | AFSPC | 14 |

* Launched from a rail adjacent to LF-08.
** Launched from a stand adjacent to Atlas silo 576E

PAGE 86
