| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1188. | 13 Jul 73 | N/A | 8261 | SLC-4E | TITAN IIID | SPACE | 6 | AFSC | 573 |
| 1189. | 16 Jul 73 | N/A | 7473 | SLC-2W | THOR/DELTA | SPACE | 21 | NASA | 27 |
| 1190. | 20 Jul 73 | M2-18 | 7452 | LF-06 | MINUTEMAN B | SAFEGUARD | 201 | AFSC | 574 |
| 1191. | 26 Jul 73 | GIANT MOON 4 | 7489 | LF-05 | MINUTEMAN F | ERCS/SOT | 120 | SAC | 454 |
| 1192. | 2 Aug 73 | GLORY TRIP 113M | 8375 | LF-04 | MINUTEMAN F | OT PHASE II | 121 | SAC | 455 |
| 1193. | 9 Aug 73 | M2-20 | 6599 | LF-06 | MINUTEMAN B | SAFEGUARD | 202 | AFSC | 575 |
| 1194. | 16 Aug 73 | N/A | 8364 | SLC-10W | THOR/BURNER IIA | SPACE | 4 | ADC | 14 |
| 1195. | 21 Aug 73 | N/A | 7724 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 42 | AFSC | 576 |
| 1196. | 23 Aug 73 | PVM-3 | 4109 | LF-08 | MINUTEMAN G | PVM/R&D | 52 | AFSC | 577 |
| 1197. | 29 Aug 73 | N/A | 7405 | BMRS A-3 | ATLAS F | ABRES | 56 | AFSC | 578 |
| 1198. | 5 Sep 73 | GLORY TRIP 43GM | 6260 | LF-02 | MINUTEMAN G | OT PHASE II | 53 | SAC | 456 |
| 1199. | 7 Sep 73 | M2-44 | 7419 | LF-06 | MINUTEMAN B | SAFEGUARD | 203 | AFSC | 579 |
| 1200. | 11 Sep 73 | N/A | 3264 | BOM-1 | BOMARC B | TARGET/R&D | 1 | NAVY | 76 |
| 1201. | 14 Sep 73 | GLORY TRIP 25GB | 6525 | LF-26 | MINUTEMAN G | OT PHASE I | 54 | SAC | 457 |
| 1202. | 25 Sep 73 | GLORY TRIP 115M-1 | 7979 | LF-04 | MINUTEMAN F | OT PHASE II | 122 | SAC | 458 |
| 1203. | 27 Sep 73 | N/A | 6275 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 43 | AFSC | 580 |
| 1204. | 30 Sep 73 | ACE | 3923 | BMRS A-1 | ATLAS F | ABRES | 57 | AFSC | 581 |
| 1205. | 2 Oct 73 | GLORY TRIP 116M | 4913 | LF-07 | MINUTEMAN F | OT PHASE II | 123 | SAC | 459 |
| 1206. | 5 Oct 73 | M2-27 | 8340 | 395-C | TITAN II | SOT/SAFEGUARD | 53 | SAC | 460 |
| 1207. | 29 Oct 73 | N/A | 1063 | SLC-5 | SCOUT | SPACE | 43 | NAVY | 77 |

PAGE 61
