| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1567. | 22 May 85 | IPA-2 | 8698 | LF-03 | MINUTEMAN B | RSLP | 256 | AFSC | 753 |
| 1568. | 3 Jun 85 | FTM-8 | 9495 | TP-01 | PEACEKEEPER | DT&E PHASE II | 8 | AFSC | 754 |
| 1569. | 16 Jun 85 | GLORY TRIP 108GM | 8948 | LF-04 | MINUTEMAN G | OT PHASE II | 162 | SAC | 583 |
| 1570. | 16 Jun 85 | GLORY TRIP 109GB | 3307 | LF-26 | MINUTEMAN G | OT PHASE II | 163 | SAC | 584 |
| 1571. | 15 Jul 85 | GLORY TRIP 110GM | 5675 | LF-09 | MINUTEMAN G | OT PHASE II | 164 | SAC | 585 |
| 1572. | 2 Aug 85 | SOOS | 0219 | SLC-5 | SCOUT | SPACE | 58 | NASA | 56 |
| 1573. | 23 Aug 85 | FTM-9 | 7846 | LF-08 | PEACEKEEPER | DT&E PHASE II | 9 | AFSC | 755 |
| 1574. | 28 Aug 85 | N/A | 1257 | SLC-4E | TITAN 34D | SPACE | 4 | AFSC | 756 |
| 1575. | 26 Sep 85 | GLORY TRIP 111GM | 7073 | LF-04 | MINUTEMAN G | OT PHASE II | 165 | SAC | 586 |
| 1576. | 8 Oct 85 | NAVSTAR 11 | 6664 | SLC-3W | ATLAS E | SPACE | 27 | AFSC | 757 |
| 1577. | 22 Oct 85 | N/A | G0007 | HP-06 | GLCM | OT | 1 | TAC | 1 |
| 1578. | 13 Nov 85 | FTM-10 | 4435 | LF-08 | PEACEKEEPER | DT&E PHASE II | 10 | AFSC | 758 |
| 1579. | 9 Feb 86 | N/A | 6247 | SLC-3E | ATLAS H | SPACE | 4 | AFSC | 759 |
| 1580. | 14 Feb 86 | GLORY TRIP 112GB | 3610 | LF-26 | MINUTEMAN G | OT PHASE II | 166 | SAC | 587 |
| 1581. | 7 Mar 86 | FTM-11 | 0202 | LF-08 | PEACEKEEPER | DT&E PHASE II | 11 | AFSC | 760 |
| 1582. | 15 Mar 86 | GLORY TRIP 113GM-1 | 8012 | LF-09 | MINUTEMAN G | OT PHASE II | 167 | SAC | 588 |
| 1583. | 15 Mar 86 | GLORY TRIP 114GM | 3229 | LF-04 | MINUTEMAN G | OT PHASE II | 168 | SAC | 589 |
| 1584. | 17 Mar 86 | IPA-3 | 3120 | LF-03 | MINUTEMAN B | RSLP | 257 | AFSC | 761 |
| 1585. | 18 Apr 86 | N/A | 4676 | SLC-4E | TITAN 34D | SPACE | 5 | AFSC | 762 |
| 1586. | 21 May 86 | FTM-12 | 0976 | LF-08 | PEACEKEEPER | DT&E PHASE II | 12 | AFSC | 763 |

PAGE 80 .
