| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1308. | 4 Dec 75 | N/A | 4428 | SLC-4E | TITAN IIID | SPACE | 11 | AFSC | 630 |
| 1309. | 4 Dec 75 | DG-4 | 5678 | 395-C | TITAN II | SOT | 57 | SAC | 488 |
| 1310. | 5 Dec 75 | DAD-A | 7205 | SLC-5 | SCOUT | SPACE | 49 | AFSC | 631 |
| 1311. | 10 Dec 75 | ESCAPE II | 3268 | PLC-C | UTE TOMAHAWK | PROBE | 1 | AFSC/CRL | 632 |
| 1312. | 16 Dec 75 | N/A | 5431 | BOM-1 | BOMARC B | TARGET | 12 | NAVY | 88 |
| 1313. | 17 Dec 75 | GLORY TRIP 51GB | 8522 | LF-22 | MINUTEMAN G | OT PHASE II | 78 | SAC | 489 |
| 1314. | 8 Jan 76 | PVM-12 | 3832 | LF-26 | MINUTEMAN G | PVM-R&D | 79 | AFSC | 633 |
| 1315. | 23 Jan 76 | SFT-105 | 6190 | LF-06 | MINUTEMAN B | TRIDENT/SFT | 222 | AFSC | 634 |
| 1316. | 29 Jan 76 | GLORY TRIP 125M | 3030 | LF-07 | MINUTEMAN F | OT PHASE II | 135 | SAC | 490 |
| 1317. | 6 Feb 76 | GLORY TRIP 26GM-4 | 4172 | LF-09 | MINUTEMAN G | OT PHASE I | 80 | SAC | 491 |
| 1318. | 8 Feb 76 | N/A | 5140 | SLC-10W | THOR/BURNER IIA | SPACE | 8 | ADC | 18 |
| 1319. | 19 Feb 76 | GLORY TRIP 126M | 4460 | LF-05 | MINUTEMAN F | OT PHASE II | 136 | SAC | 492 |
| 1320. | 24 Feb 76 | GLORY TRIP 124M | 6306 | LF-04 | MINUTEMAN F | OT PHASE II | 137 | SAC | 493 |
| 1321. | 27 Feb 76 | ANT-1 | 7396 | LF-03 | MINUTEMAN B | ABRES | 223 | AFSC | 635 |
| 1322. | 4 Mar 76 | GLORY TRIP 52GB | 5280 | LF-25 | MINUTEMAN G | OT PHASE II | 81 | SAC | 494 |
| 1323. | 14 Mar 76 | PVM-13 | 5333 | LF-26 | MINUTEMAN G | PVM-R&D | 82 | AFSC | 636 |
| 1324. | 22 Mar 76 | N/A | 7600 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 50 | AFSC | 637 |
| 1325. | 30 Apr 76 | N/A | 6431 | SLC-3W | ATLAS F | SPACE | 66 | AFSC | 638 |
| 1326. | 3 May 76 | LAGEOS | 5504 | SLC-2W | THOR/DELTA | SPACE | 30 | NASA | 40 |
| 1327. | 5 May 76 | N/A | 8818 | BOM-2 | BOMARC B | TARGET | 13 | NAVY | 89 |

PAGE 67
